,l3,rooms,bedrooms,bathrooms,surface_total,surface_covered,price,property_type
44068,Colegiales,3.0,2.0,2.0,77.0,65.0,257000.0,Departamento
44069,Villa Luro,3.0,2.0,1.0,56.0,50.0,120000.0,Departamento
44070,Barrio Norte,3.0,2.0,1.0,57.0,54.0,185000.0,Departamento
44071,Barrio Norte,3.0,2.0,1.0,78.0,63.0,270000.0,Departamento
44072,Barrio Norte,3.0,2.0,1.0,80.0,52.0,215000.0,Departamento
44073,Monte Castro,3.0,2.0,1.0,64.0,59.0,160000.0,Departamento
44074,Villa Crespo,3.0,2.0,1.0,72.0,55.0,154000.0,Departamento
44075,Villa Crespo,3.0,2.0,1.0,82.0,82.0,249000.0,Departamento
44076,Villa Crespo,3.0,2.0,2.0,100.0,60.0,209000.0,Departamento
44077,Villa Devoto,3.0,2.0,1.0,64.0,59.0,160000.0,Departamento
44078,Villa Devoto,3.0,2.0,1.0,69.0,60.0,168000.0,Departamento
44079,Villa Devoto,3.0,2.0,1.0,73.0,59.0,173500.0,Departamento
44080,Villa Devoto,3.0,2.0,1.0,83.0,76.0,269000.0,Departamento
44087,Villa Santa Rita,3.0,2.0,1.0,80.0,78.0,130000.0,Departamento
44088,Parque Centenario,3.0,2.0,2.0,108.0,98.0,169000.0,Departamento
44089,Parque Centenario,3.0,2.0,2.0,96.0,89.0,195000.0,Departamento
44092,Centro / Microcentro,3.0,2.0,2.0,86.0,86.0,170000.0,Departamento
44094,Nuñez,4.0,3.0,1.0,90.0,82.0,260000.0,PH
44095,Almagro,4.0,3.0,1.0,64.0,57.0,170000.0,PH
44096,Almagro,4.0,3.0,2.0,125.0,125.0,245000.0,PH
44099,Caballito,4.0,3.0,2.0,188.0,136.0,398000.0,PH
44103,Villa Pueyrredón,4.0,3.0,2.0,148.0,90.0,270000.0,PH
44118,Almagro,4.0,3.0,2.0,103.0,94.0,270000.0,Departamento
44119,Almagro,4.0,3.0,2.0,80.0,70.0,185000.0,Departamento
44120,Almagro,4.0,3.0,2.0,100.0,85.0,167000.0,Departamento
44121,Almagro,4.0,3.0,3.0,101.0,101.0,250000.0,Departamento
44123,Palermo,4.0,3.0,2.0,95.0,85.0,350000.0,Departamento
44124,Palermo,4.0,3.0,2.0,128.0,123.0,396991.0,Departamento
44125,Palermo,4.0,3.0,2.0,169.0,103.0,398000.0,Departamento
44126,Belgrano,4.0,3.0,3.0,137.0,132.0,480000.0,Departamento
44128,Saavedra,4.0,3.0,1.0,86.0,76.0,239000.0,Departamento
44129,Caballito,4.0,3.0,2.0,92.0,88.0,250000.0,Departamento
44130,Caballito,4.0,3.0,2.0,142.0,95.0,290000.0,Departamento
44131,Caballito,4.0,3.0,2.0,92.0,88.0,250000.0,Departamento
44132,Caballito,4.0,3.0,4.0,134.0,118.0,299000.0,Departamento
44134,Caballito,4.0,3.0,4.0,134.0,118.0,299000.0,Departamento
44135,Caballito,4.0,3.0,4.0,134.0,118.0,299000.0,Departamento
44136,San Telmo,4.0,2.0,1.0,86.0,86.0,143000.0,Departamento
